id,account_id,name,position,ownerEl,slave,code,level,cost_nature,has_sub,is_sub,cost_to_cost,cost_analysis,cost_added_date,cost_others
7,1,"مخزن مسطرد 2",3,0,...,04,1,,,...,,0,"2024-02-15 14:11:32",
2,1,"مقر الشركة (الموسكي)",0,0,...,01,1,,,...,,0,"2024-02-15 14:13:33",
3,1,"مخزن ش.الجيش",1,0,...,02,1,,,...,,0,"2024-02-15 14:13:48",
4,1,"مخزن مسطرد 1",2,0,...,03,1,,,...,,0,"2024-02-15 14:11:21",
8,1,"مخزن مسطرد 3",4,0,...,05,1,,,...,,0,"2024-02-15 14:12:52",
9,1,"المكتب العلمي",5,0,...,06,1,,,...,,0,"2024-02-15 14:13:59",
10,1,"مكتب الاستيراد",6,0,...,07,1,,,...,,0,"2024-02-15 14:14:08",
11,1,"مكتب التطوير",7,0,...,08,1,,,...,,0,"2024-09-10 17:32:36",
12,1,"مكتب الحسابات",8,0,...,,1,,,...,,0,"2024-02-15 14:14:30",
13,1,"YWP 2022-5 رسالة ",9,0,...,10,1,,,...,,0,"2024-03-06 20:31:26",
14,1,"YWP 2022-6 رسالة ",10,0,...,11,1,,,...,,0,"2024-11-06 10:56:14",
17,1,"YWP 2022-11 رسالة",11,0,...,12,1,,,...,,0,"2024-11-06 10:56:35",
18,1," YWP 2022-12 رسالة ",12,0,...,13,1,,,...,,0,"2024-09-21 17:46:01",
19,1,"YWP 2023-5 رسالة ",13,0,...,,1,,,...,,0,"2024-04-01 17:57:42",
20,1,"YWP 2023-8 رسالة ",14,0,...,15,1,,,...,,0,"2024-09-20 15:09:02",
21,1,"الشقة الادارية",15,0,...,,1,,,...,,0,"2024-04-01 17:57:42",
22,1,المعرض,16,0,...,,1,,,...,,0,"2024-04-01 17:57:42",
23,1,"YWP 2023-9 رسالة ",17,0,...,18,1,,,...,,0,"2024-11-06 10:56:26",
24,1," YWP 2024-1 رسالة",18,0,...,19,1,,,...,,0,"2024-06-14 11:40:38",
25,1,"كوبري تشوين الحاويات",19,0,...,20,1,,,...,,0,"2024-11-06 10:56:24",
27,1,"الوحدتين الاداريتين",20,0,...,21,1,,,...,,0,"2024-07-20 13:50:13",
28,1,"اعمال مدنية بمنطقة الاسانسير",21,0,...,22,1,,,...,,0,"2024-11-06 10:56:21",
29,1,"تجديدات المعرض",22,0,...,23,1,,,...,,0,"2024-11-06 10:56:20",
30,1,"YWP 2024-5 رسالة",23,0,...,24,1,,,...,,0,"2024-11-06 10:56:17",
31,1,"YWP 2024-10 رسالة ",24,0,...,,1,,,...,,0,"2024-11-06 15:30:50",
32,1,"غرفة مدير المخزن",25,0,...,,1,,,...,,0,"2024-12-05 15:16:33",
33,1,"الحماية المدنية( الاطفاء)",26,0,...,,1,,,...,,0,"2025-03-14 20:38:22",
34,1,"غرفة بواب مخزن مسطرد 1",27,0,...,,1,,,...,,0,"2025-06-25 10:13:03",
