id,account_id,name,position,ownerEl,slave,income_list,code,level,ind_nature,creditor,debtor,has_sub,is_sub,ind_to_cost,ind_analysis,ind_added_date,ind_others,coin_id,index_company_id,barcode,buy_value,prev_damage,net_value,working_date,buy_date,annual_damage_rate,age,damage_type
1,1,الأصول,0,0,...,0,1,1,,0,0,,...,,0,9/12/2023 19:42,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1,الأصول الغير متداولة,0,1,...,0,101,2,,0,0,,...,0,0,1/2/2025 19:31,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,1,الات ومعدات,0,2,...,0,10101,3,,0,0,,...,,0,9/12/2023 19:44,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1,اراضي,1,2,...,0,10102,3,,0,0,,...,,0,9/12/2023 19:45,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,مباني,2,2,...,0,10103,3,,0,0,,...,,0,9/12/2023 19:45,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1,اجهزة و حاسبات,3,2,...,0,10104,3,,0,0,,...,,0,9/12/2023 19:45,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1, * الانشاءات,4,2,...,0,10105,3,,0,0,1,...,0,0,2/21/2024 16:04,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1,اثاث مكتبي,5,2,...,0,10106,3,,0,0,,...,,0,9/12/2023 19:45,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,1,الأصول المتداوله,1,1,...,0,102,2,,0,0,,...,0,0,9/12/2023 19:46,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219,1,فرعيه,1,217,...,0,102110102,5,,0,11167249,,...,,0,11/1/2024 16:37,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
217,1,الخزينة,0,216,...,0,1021101,4,,0,0,,...,,0,9/12/2023 21:15,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
218,1,رئيسية,0,217,...,0,102110101,5,,0,0,,...,,0,11/1/2024 16:36,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,1,البنك,0,9,...,0,10201,3,,0,0,,...,,0,9/19/2024 14:39,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,1,بنك اسكندريه,0,13,...,0,1020101,4,,0,0,,...,,0,6/15/2025 21:30,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,1,بنكQNB ,1,13,...,0,1020202,4,,0,0,,...,,0,3/23/2024 11:13,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,1,العملاء,1,9,...,0,10202,3,,0,5075449,1,...,0,0,5/29/2024 18:28,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,1,المخزون,2,9,...,0,10203,3,,0,0,,...,,0,12/13/2023 13:33,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,1,مصروف مقدم,3,9,...,0,10204,3,,0,0,,...,,0,5/3/2024 19:20,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,1,ايراد مستحق,4,9,...,0,10206,3,,0,0,,...,,0,9/12/2023 21:14,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,1,أ.قبض,5,9,...,0,10207,3,,0,0,,...,,0,9/12/2023 21:14,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,1,شيكات تحت التحصيل,6,9,...,0,10207,3,,0,0,,...,,0,9/28/2023 14:27,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,1,العهد,7,9,...,0,10208,3,,0,0,,...,,0,9/18/2023 15:21,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,1,عهدة الشركه,0,24,...,0,1020801,4,,0,0,1,...,0,0,9/21/2023 15:53,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,1,عهدة الدفتر,1,25,...,0,102090101,5,0,0,0,0,...,0,0,9/21/2023 19:57,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,1,عهدة ناجح,1,25,...,0,102090102,5,0,0,0,0,...,0,0,9/21/2023 19:57,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,1,عهدة احمد سلامه,1,25,...,0,102090103,5,0,0,0,0,...,0,0,9/21/2023 15:55,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,1,عهدة وجدي,1,25,...,0,102090104,5,0,0,0,0,...,0,0,9/21/2023 19:58,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,1, عهدة محمد سيد,1,25,...,0,102090105,5,0,0,0,0,...,0,0,9/21/2023 19:57,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,1,عهدة اسلام,1,25,...,0,102090106,5,0,0,0,0,...,0,0,9/21/2023 19:57,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,1,عهدة حسام ,1,25,...,0,102090107,5,0,0,0,0,...,0,0,9/21/2023 19:57,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,1,مهندس إبراهيم خالد,1,24,...,0,1020802,4,,0,150000,1,...,0,0,2/22/2024 15:55,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,1,مخزن مسطرد 1,1,33,...,0,102090201,5,0,0,0,0,...,0,0,3/29/2024 15:52,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,1,مخزن الجيش ,1,33,...,0,102090202,5,,0,0,0,...,0,0,2/17/2024 3:08,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,1,الشركه والمكاتب ,1,33,...,0,102090203,5,,0,0,0,...,0,0,9/12/2023 20:01,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,1,مهندس اسامه الوزير,2,24,...,0,1020803,4,,0,0,1,...,0,0,9/18/2023 15:32,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,1,مخزن الجيش ,1,37,...,0,102090301,5,,0,0,0,...,0,0,9/12/2023 20:02,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,1,مخزن مسطرد,1,37,...,0,102090302,5,,0,0,0,...,0,0,9/12/2023 20:02,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,1, عهدة المكتب العلمي ,3,24,...,0,1020804,4,,0,0,0,...,0,0,9/21/2023 19:54,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,1, عهدة مكتب الاستيراد,4,24,...,0,1020805,4,,0,0,0,...,0,0,9/21/2023 19:54,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,1,عهدة مكتب التطوير,5,24,...,0,1020806,4,,0,0,0,...,0,0,9/21/2023 19:55,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,1,عهده مهندس انس ,6,24,...,0,1020907,4,,0,0,,...,,0,3/28/2024 11:20,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,1,تأمينات لدي الغير,8,9,...,0,10209,3,,0,0,0,...,0,0,2/24/2024 19:29,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,1,الالتزامات,1,0,...,0,2,1,,0,0,,...,0,0,2/26/2025 20:03,,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
